NOM_DISPOSITIF,ADRESSE,CODE_POSTAL,VILLE,COM_CODE,COM_NOM,EPCI_CORRE,ADRESSE_COMPLETE,TYPE_STRUCTURE,HORAIRES,INFOS,N_TEL,MAIL,WEBSITE,SERVICES,ACCES,latitude,longitude,BAN_adress,BAN_adress_full,BAN_city,BAN_postcode
Club informatique Montferrand (Jeunesse et Culture),34 Rue de la Chapelle,25320,MONTFERRAND LE CHATEAU,25397,Montferrand-le-Château,CA du Grand Besancon,34 Rue de la Chapelle 25320 MONTFERRAND LE CHATEAU,association,,,03 81 56 63 91,clubinfo25320@gmail.com,http://clubinfo25320.chez.com/,accomp_demarches-ateliers_formations-,,47.178024,5.921983,34 Rue de la Chapelle,34 Rue de la Chapelle 25320 Montferrand-le-Château,Montferrand-le-Château,25320
Club multimédia Vercel,9 rue de Jésus,25530,VERCEL VILLEDIEU LE CAMP,25601,Vercel-Villedieu-le-Camp,CC des Portes du Haut-Doubs,9 rue de Jésus 25530 VERCEL VILLEDIEU LE CAMP,association,,Formateurs bénévoles. Cotisations pour participer aux formations. Ateliers par thème (usage internet  usages des sites de services publics  Libre Office  photos et albums...),06 33 25 50 46,bacilierip@aol.com,https://www.intramuros.org/vercel-villedieu-le-camp/associations/47748,ateliers_formations-,adapt_handicap-,47.18239,6.398801,9 Rue de Jésus,9 Rue de Jésus 25530 Vercel-Villedieu-le-Camp,Vercel-Villedieu-le-Camp,25530
Les petits débrouillards,1 Rue de Champagne,25000,BESANCON,25056,Besançon,CA du Grand Besancon,1 Rue de Champagne 25000 BESANCON,association,,,03 81 51 74 88,franche_comte@lespetitsdebrouillards.org,https://www.lespetitsdebrouillardsbourgognefranchecomte.org/rubrique2.html,ateliers_formations-,,47.22331,5.976274,1 Rue de Champagne,1 Rue de Champagne 25000 Besançon,Besançon,25000
Comité de quartier Rosemont St Frejeux,1 Avenue Ducat,25000,BESANCON,25056,Besançon,CA du Grand Besancon,1 Avenue Ducat 25000 BESANCON,association,,,03 81 52 42 52,maison.quartier@comite-stferjeux.fr,http://www.mdq-saintferjeux.fr/sengager/le-comite-de-quartier-vous-invite.html,accomp_demarches-ateliers_formations-,acces_libre-,47.230665,5.992171,1 Avenue Ducat,1 Avenue Ducat 25000 Besançon,Besançon,25000
CCAS Besancon,9 Rue Pablo Picasso,25050,BESANCON,25056,Besançon,CA du Grand Besancon,9 Rue Pablo Picasso 25050 BESANCON,ccas,,,03 81 41 21 21,ccas@besancon.fr,https://www.besancon.fr/la-ville/ccas-de-besancon/,accomp_demarches-ateliers_formations-,acces_libre-,47.21937,5.973427,9 Rue Pablo Picasso,9 Rue Pablo Picasso 25000 Besançon,Besançon,25000
CCAS Pontarlier,6 Rue des Capucins,25300,PONTARLIER,25462,Pontarlier,CC du Grand Pontarlier,6 Rue des Capucins 25300 PONTARLIER,ccas,,,03 81 46 51 36,c.c.a.s@ville-pontarlier.com,https://www.ville-pontarlier.fr/page/vivre-a-pontarlier/vie-quotidienne-2/action-sociale/le-ccas,ateliers_formations-,,46.906853,6.350273,6 Rue des Capucins,6 Rue des Capucins 25300 Pontarlier,Pontarlier,25300
CIAS Quingey,Mairie Quingey  place d'armes,25440,QUINGEY,25475,Quingey,CC Loue-Lison,Mairie Quingey  place d'armes 25440 QUINGEY,ccas,,,03 81 62 20 19,cias@louelison.fr,,accomp_demarches-,,47.103063,5.883542,Place d'Armes,Place d'Armes 25440 Quingey,Quingey,25440
CIAS Loue-Lison,7  rue Edouard-Bastide,25290,ORNANS,25434,Ornans,CC Loue-Lison,7  rue Edouard-Bastide 25290 ORNANS,ccas,,,03 81 62 20 19,cias@louelison.fr,https://cclouelison.fr/fr/rb/417549/cias-1,accomp_demarches-,,47.102684,6.154375,7 Rue Edouard Bastide,7 Rue Edouard Bastide 25290 Ornans,Ornans,25290
CCAS Morteau,6 Rue Barral  25500 Morteau,25500,MORTEAU,25411,Morteau,CC du Val de Morteau,6 Rue Barral  25500 Morteau 25500 MORTEAU,ccas,,,03 81 68 56 86,,https://www.morteau.org/vos-services/ccas-solidarite-seniors-logement/presentation-du-ccas/,accomp_demarches-ateliers_formations-,,47.057225,6.603777,6 Rue Barral,6 Rue Barral 25500 Morteau,Morteau,25500
CMS Planoise Besancon,20 Boulevard Salvador Allende,25000,BESANCON,25056,Besançon,CA du Grand Besancon,20 Boulevard Salvador Allende 25000 BESANCON,cms,,,03 81 51 00 41,CMSPlanoise@doubs.fr,,accomp_demarches-ateliers_formations-,,47.218956,5.968912,20 Boulevard Salvador Allendé,20 Boulevard Salvador Allendé 25000 Besançon,Besançon,25000
CMS Novillars,2 rue Louis Pasteur,25220,NOVILLARS,25429,Novillars,CA du Grand Besancon,2 rue Louis Pasteur 25220 NOVILLARS,cms,,,03 81 55 61 25,cms.novillars@doubs.fr,https://www.doubs.fr/index.php/geolocalisation/33:cms-novillars,accomp_demarches-,,47.288794,6.130762,2 Rue Louis Pasteur,2 Rue Louis Pasteur 25220 Novillars,Novillars,25220
CMS Maiche,3 Rue Des Boutons D'or,25120,MAICHE,25356,Maîche,CC du Pays de Maîche,3 Rue Des Boutons D'or 25120 MAICHE,cms,,,03 81 64 06 57,cms.maiche@doubs.fr,https://www.doubs.fr/index.php/geolocalisation/33:cms-novillars,accomp_demarches-,,47.25497,6.794813,3 Rue des Boutons d’Or,3 Rue des Boutons d’Or 25120 Maîche,Maîche,25120
CMS L'Isle sur le Doubs,78 Bis rue Magny,25250,L'ISLE SUR LE DOUBS,25315,L'Isle-sur-le-Doubs,CC des Deux Vallées Vertes,78 Bis rue Magny 25250 L'ISLE SUR LE DOUBS,cms,,,03 81 92 73 98,cms.islesurledoubs@doubs.fr,https://www.islesurledoubs.fr/centre-medico-social.htm,accomp_demarches-,,47.442861,6.580084,78b Rue du Magny,78b Rue du Magny 25250 L'Isle-sur-le-Doubs,L'Isle-sur-le-Doubs,25250
CMS Besancon Montrapon,7 Rue de l'Epitaphe,25000,BESANCON,25056,Besançon,CA du Grand Besancon,7 Rue de l'Epitaphe 25000 BESANCON,cms,,,03 81 50 42 84,cms.temis@doubs.fr,https://www.doubs.fr/index.php/geolocalisation/29:cms-montrapon,accomp_demarches-ateliers_formations-,,47.247489,5.998712,7 Rue de l'Epitaphe,7 Rue de l'Epitaphe 25000 Besançon,Besançon,25000
Maison de quartier Mandela,13 Av. de l'Île de France,25000,BESANCON,25056,Besançon,CA du Grand Besancon,13 Av. de l'Île de France 25000 BESANCON,association,,,03 81 87 81 20,planoise.mdq@besançon.fr,http://planoisactive.fr/apropos,,acces_libre-,47.221329,5.967441,13 Avenue de l'île de France,13 Avenue de l'île de France 25000 Besançon,Besançon,25000
Médiathèque Pontarlier,69 Rue de la République,25300,PONTARLIER,25462,Pontarlier,CC du Grand Pontarlier,69 Rue de la République 25300 PONTARLIER,biblioth_que,,,03 81 38 81 37,mediatheque@ville-pontarlier.com,https://mediatheque.ville-pontarlier.fr/,,acces_libre-,46.903805,6.354288,69 Rue de la République,69 Rue de la République 25300 Pontarlier,Pontarlier,25300
Maison des séniors Besancon,8 Rue Pasteur,25000,BESANCON,25056,Besançon,CA du Grand Besancon,8 Rue Pasteur 25000 BESANCON,collectivite,,,03 81 41 22 04,maison-des-seniors@besancon.fr,https://www.grandbesancon.fr/infos-pratiques/solidarite-sante/maison-des-seniors/,accomp_demarches-,acces_libre-,47.238209,6.021914,8 Rue Pasteur,8 Rue Pasteur 25000 Besançon,Besançon,25000
MJC Clairs-Soleils,67E Rue de Chalezeule,25000,BESANCON,25056,Besançon,CA du Grand Besancon,67E Rue de Chalezeule 25000 BESANCON,association,,,03 81 50 69 93,http://www.mjc-besancon.fr/,,accomp_demarches-ateliers_formations-,,47.24935,6.053506,67e Rue de Chalezeule,67e Rue de Chalezeule 25000 Besançon,Besançon,25000
CCAS Baumes les Dames,3 Place de la République,25110,BAUME LES DAMES,25047,Baume-les-Dames,CC du Doubs Baumois,3 Place de la République 25110 BAUME LES DAMES,ccas,,,03 81 84 75 10,actionsociale@baumelesdames.org,,,acces_libre-,47.352575,6.36156,3 Place de la Republique,3 Place de la Republique 25110 Baume-les-Dames,Baume-les-Dames,25110
CCAS de Montbéliard,11 rue Maurice Ravel,25200,MONTBELIARD,25388,Montbéliard,CA Pays de Montbéliard Agglomération,11 rue Maurice Ravel 25200 MONTBELIARD,ccas,,- Formation à l'outil numérique - Accès internet avec accompagnement   aider les usagers en démarchant auprès de CAF  CPAM  Impôts  Ameli...,03 81 99 23 00,ccas@montbeliard.com,,ateliers_formations-,,47.497154,6.799938,11 Rue Maurice Ravel,11 Rue Maurice Ravel 25200 Montbéliard,Montbéliard,25200
CCAS de Bethoncourt,13 rue Buffon,25200,BETHONCOURT,25057,Bethoncourt,CA Pays de Montbéliard Agglomération,13 rue Buffon 25200 BETHONCOURT,ccas,,UVTD (Université Virtuelle du Temps Disponible) - Proposer des conférences à distance,03 81 96 61 93,,https://www.bethoncourt.fr/ccas/,ateliers_formations-,,47.532991,6.804307,13 Rue Buffon,13 Rue Buffon 25200 Bethoncourt,Bethoncourt,25200
Cafés connectés (CCAS),Mairie de L'Isle-sur-le Doubs  Place François Mitterrand,25250,L'ISLE SUR LE DOUBS,25315,L'Isle-sur-le-Doubs,CC des Deux Vallées Vertes,Mairie de L'Isle-sur-le Doubs  Place François Mitterrand   25250 L'ISLE SUR LE DOUBS,ccas,,Cafés connectés,,,,ateliers_formations-,,45.663288,0.198598,Place Francois Mitterrand,Place Francois Mitterrand 16340 L'Isle-d'Espagnac,L'Isle-d'Espagnac,16340
Cafés connectés (CCAS),6  Rue Barral,25500,MORTEAU,25411,Morteau,CC du Val de Morteau,6  Rue Barral 25500 MORTEAU,ccas,,Cafés connectés,,,,ateliers_formations-,,47.057225,6.603777,6 Rue Barral,6 Rue Barral 25500 Morteau,Morteau,25500
Cafés connectés (CCAS),1 rue des Fleurs,25550,BAVANS,25048,Bavans,CA Pays de Montbéliard Agglomération,1 rue des Fleurs 25550 BAVANS,ccas,,Accomplissement des démarches CAF  CPAM  Ameli  Impôts... Avec accompagnement - ateliers (+ de 60ans) - septembre 2021,,,,accomp_demarches-ateliers_formations-,,47.481907,6.730071,1 Rue des Fleurs,1 Rue des Fleurs 25550 Bavans,Bavans,25550
Cafés connectés (CCAS),3 place de la République,25110,BAUME LES DAMES,25047,Baume-les-Dames,CC du Doubs Baumois,3 place de la République 25110 BAUME LES DAMES,ccas,,Cafés connectés,,,,ateliers_formations-,,47.352575,6.36156,3 Place de la Republique,3 Place de la Republique 25110 Baume-les-Dames,Baume-les-Dames,25110
Cafés connectés (CCAS),1 RUE DE L'HOTEL DE VILLE,25800,VALDAHON,25578,Valdahon,CC des Portes du Haut-Doubs,1 RUE DE L'HOTEL DE VILLE 25800 VALDAHON,ccas,,Cafés connectés,,,,ateliers_formations-,,47.150295,6.350584,1 Rue de l'Hôtel de Ville,1 Rue de l'Hôtel de Ville 25800 Valdahon,Valdahon,25800
Cafés connectés (CCAS),Place Emile Peugeot,25700,MATHAY,25370,Mathay,CA Pays de Montbéliard Agglomération,Place Emile Peugeot 25700 MATHAY,ccas,,Cafés connectés,,,,ateliers_formations-,,47.461257,6.837109,Place Emile Peugeot,Place Emile Peugeot 25700 Valentigney,Valentigney,25700
Cafés connectés (CCAS),Rue Jules-Ferry,25310,BLAMONT,25063,Blamont,CA Pays de Montbéliard Agglomération,Rue Jules-Ferry 25310 BLAMONT,ccas,,Cafés connectés,,,,ateliers_formations-,,47.386009,6.847818,Rue Jules Ferry,Rue Jules Ferry 25310 Blamont,Blamont,25310
Cafés connectés (ADMR),1  place de la Libération,25530,VERCEL VILLEDIEU LE CAMP,25601,Vercel-Villedieu-le-Camp,CC des Portes du Haut-Doubs,1  place de la Libération 25530 VERCEL VILLEDIEU LE CAMP,ccas,,Cafés connectés,,,,ateliers_formations-,,47.183131,6.398144,1 Place de la Libération,1 Place de la Libération 25530 Vercel-Villedieu-le-Camp,Vercel-Villedieu-le-Camp,25530
Cafés connectés (CCAS),11 rue Maurice Ravel,25200,MONTBELIARD,25388,Montbéliard,CA Pays de Montbéliard Agglomération,11 rue Maurice Ravel 25200 MONTBELIARD,ccas,,Cafés connectés,,,,,,47.497154,6.799938,11 Rue Maurice Ravel,11 Rue Maurice Ravel 25200 Montbéliard,Montbéliard,25200
Cafés connectés (CCAS),13 rue Buffon,25200,BETHONCOURT,25057,Bethoncourt,CA Pays de Montbéliard Agglomération,13 rue Buffon 25200 BETHONCOURT,ccas,,Cafés connectés,,,,,,47.532991,6.804307,13 Rue Buffon,13 Rue Buffon 25200 Bethoncourt,Bethoncourt,25200
Cafés connectés (CCAS),5 B rue Pierre Peugeot,25310,HERIMONCOURT,25304,Hérimoncourt,CA Pays de Montbéliard Agglomération,5 B rue Pierre Peugeot 25310 HERIMONCOURT,ccas,,Cafés connectés,,,,,,47.442186,6.883117,5b Rue Pierre Peugeot,5b Rue Pierre Peugeot 25310 Hérimoncourt,Hérimoncourt,25310
Cafés connectés (CCAS),1  rue Pasteur,25130,VILLERS LE LAC,25321,Villers-le-Lac,CC du Val de Morteau,1  rue Pasteur 25130 VILLERS LE LAC,ccas,,Cafés connectés,,,,,,47.058913,6.667112,1 Rue Pasteur,1 Rue Pasteur 25130 Villers-le-Lac,Villers-le-Lac,25130
Cafés connectés (CCAS),2  rue de la Gare,25560,FRASNE,25259,Frasne,CC du Plateau de Frasne et du Val de Drugeon (CFD),2  rue de la Gare 25560 FRASNE,ccas,,Cafés connectés,,,,,,46.85724,6.159942,2 Rue de la Gare,2 Rue de la Gare 25560 Frasne,Frasne,25560
Cafés connectés (CCAS),26 rue de la Mairie,25660,SAONE,25532,Saône,CA du Grand Besancon,26 rue de la Mairie 25660 SAONE,ccas,,Cafés connectés,,,,,,47.22504,6.117091,26 Rue de la Mairie,26 Rue de la Mairie 25660 Saône,Saône,25660
Cafés connectés (COMMUNE),23  Grande rue,25640,CENDREY,25107,Cendrey,CC du Doubs Baumois,23  Grande rue 25640 CENDREY,collectivite,,Cafés connectés,,,,,,47.404358,6.245031,23 Grande Rue,23 Grande Rue 25640 Cendrey,Cendrey,25640
ADMR résidence séniors,Place du 8 Mai,25500,LES FINS,25240,Les Fins,CC du Val de Morteau,Place du 8 Mai 25500 LES FINS,association,,Ilots numériques,03 81 56 22 44,info.fede25@admr.org,https://www.fede25.admr.org/,,,47.07848,6.628737,Place du 8 Mai,Place du 8 Mai 25500 Les Fins,Les Fins,25500
Ilots numériques (La Poste Champs Montants),9 rue de la Mairie,25400,AUDINCOURT,25031,Audincourt,CA Pays de Montbéliard Agglomération,9 rue de la Mairie 25400 AUDINCOURT,entreprise,,Ilots numériques,,,,accomp_demarches-,acces_libre-,47.481366,6.841397,9 Rue de la Mairie,9 Rue de la Mairie 25400 Audincourt,Audincourt,25400
Ilots numériques (La Poste),4 Place du Général de Gaulle,25650,GILLEY,25271,Gilley,CC de Montbenoît,4 Place du Général de Gaulle 25650 GILLEY,entreprise,,Ilots numériques avec points d’accès internet Imprimantes  scanners  ordinateurs avec accès aux sites des opérateurs partenaires (CAF  CPAM  MSA  DDFIP  Pôle Emploi…) Accompagnement par un agent de la municipalité (ex : secrétaire),,,,accomp_demarches-,adapt_handicap-acces_libre-,47.047357,6.478672,4 Place du General de Gaulle,4 Place du General de Gaulle 25650 Gilley,Gilley,25650
Ilots numériques (La Poste),4 Rue du Vieux Moulin,25310,HERIMONCOURT,25304,Hérimoncourt,CA Pays de Montbéliard Agglomération,4 Rue du Vieux Moulin 25310 HERIMONCOURT,entreprise,,Ilots numériques,,,,accomp_demarches-,acces_libre-,47.441434,6.881275,4 Rue du Vieux Moulin,4 Rue du Vieux Moulin 25310 Hérimoncourt,Hérimoncourt,25310
Ilots numériques (La Poste),5 Rue de l'Eglise,25290,EPEUGNEY,25220,Epeugney,CC Loue-Lison,5 Rue de l'Eglise 25290 EPEUGNEY,entreprise,,Ilots numériques,,,,accomp_demarches-,acces_libre-,47.116994,6.024344,5 Rue de l'Eglise,5 Rue de l'Eglise 25290 Épeugney,Épeugney,25290
Ilots numériques (La Poste),29 RUE DE LA 5E DB,25750,ARCEY,25512,Le Russey,CC du Plateau de Russey,29 RUE DE LA 5E DB 25750 ARCEY,entreprise,,Ilots numériques avec points d’accès internet Imprimantes  scanners  ordinateurs avec accès aux sites des opérateurs partenaires (CAF  CPAM  MSA  DDFIP  Pôle Emploi…) Accompagnement par un agent de la municipalité (ex : secrétaire),,,,accomp_demarches-,adapt_handicap-acces_libre-,47.521577,6.658439,29 Rue de la 5e Db,29 Rue de la 5e Db 25750 Arcey,Arcey,25750
Ilots numériques (La Poste),1 RUE PORTE DES NOYES,25340,PAYS DE CLERVAL,25512,Le Russey,CC du Plateau de Russey,1 RUE PORTE DES NOYES 25340 PAYS DE CLERVAL,entreprise,,Ilots numériques avec points d’accès internet Imprimantes  scanners  ordinateurs avec accès aux sites des opérateurs partenaires (CAF  CPAM  MSA  DDFIP  Pôle Emploi…) Accompagnement par un agent de la municipalité (ex : secrétaire),,,,accomp_demarches-,adapt_handicap-acces_libre-,47.393324,6.497102,1 Rue Porte des Noyes,1 Rue Porte des Noyes 25340 Pays-de-Clerval,Pays-de-Clerval,25340
Ilots numériques (La Poste),4 PLACE DU MARCHE,25680,ROUGEMONT,25512,Le Russey,CC du Plateau de Russey,4 PLACE DU MARCHE 25680 ROUGEMONT,entreprise,,Ilots numériques avec points d’accès internet Imprimantes  scanners  ordinateurs avec accès aux sites des opérateurs partenaires (CAF  CPAM  MSA  DDFIP  Pôle Emploi…) Accompagnement par un agent de la municipalité (ex : secrétaire),,,,accomp_demarches-,adapt_handicap-acces_libre-,47.480046,6.354887,4 Place du Marché,4 Place du Marché 25680 Rougemont,Rougemont,25680
Ilots numériques (La Poste),10 PLACE BUGNET,25270,LEVIER,25512,Le Russey,CC du Plateau de Russey,10 PLACE BUGNET 25270 LEVIER,entreprise,,Ilots numériques avec points d’accès internet Imprimantes  scanners  ordinateurs avec accès aux sites des opérateurs partenaires (CAF  CPAM  MSA  DDFIP  Pôle Emploi…) Accompagnement par un agent de la municipalité (ex : secrétaire),,,,accomp_demarches-,adapt_handicap-acces_libre-,46.953653,6.116531,10 Place Bugnet,10 Place Bugnet 25270 Levier,Levier,25270
Ilots numériques (La Poste),1 GRANDE RUE,25240,MOUTHE,25413,Mouthe,CC des Lacs et Montagnes du Haut-Doubs,1 GRANDE RUE 25240 MOUTHE,entreprise,,Ilots numériques avec points d’accès internet Imprimantes  scanners  ordinateurs avec accès aux sites des opérateurs partenaires (CAF  CPAM  MSA  DDFIP  Pôle Emploi…) Accompagnement par un agent de la municipalité (ex : secrétaire),,,,,,46.710386,6.192658,1 Grande Rue,1 Grande Rue 25240 Mouthe,Mouthe,25240
Ilots numériques (La Poste),1 PLACE DE LA POSTE,25360,BOUCLANS,25078,Bouclans,CC des Portes du Haut-Doubs,1 PLACE DE LA POSTE 25360 BOUCLANS,entreprise,,Ilots numériques avec points d’accès internet Imprimantes  scanners  ordinateurs avec accès aux sites des opérateurs partenaires (CAF  CPAM  MSA  DDFIP  Pôle Emploi…) Accompagnement par un agent de la municipalité (ex : secrétaire),,,,,,47.246367,6.236646,1 Place de la Poste,1 Place de la Poste 25360 Bouclans,Bouclans,25360
Ilots numériques (La Poste),13 RUE DU FOUR,25330,AMANCEY,25015,Amancey,CC Loue-Lison,13 RUE DU FOUR 25330 AMANCEY,entreprise,,Ilots numériques avec points d’accès internet Imprimantes  scanners  ordinateurs avec accès aux sites des opérateurs partenaires (CAF  CPAM  MSA  DDFIP  Pôle Emploi…) Accompagnement par un agent de la municipalité (ex : secrétaire),,,,,,47.037799,6.070477,13 Rue du Four,13 Rue du Four 25330 Amancey,Amancey,25330
Ilots numériques (La Poste),18 RUE DE LA GARE,25560,FRASNE,25259,Frasne,CC du Plateau de Frasne et du Val de Drugeon (CFD),18 RUE DE LA GARE 25560 FRASNE,entreprise,,Ilots numériques avec points d’accès internet Imprimantes  scanners  ordinateurs avec accès aux sites des opérateurs partenaires (CAF  CPAM  MSA  DDFIP  Pôle Emploi…) Accompagnement par un agent de la municipalité (ex : secrétaire),,,,,,46.857464,6.158342,18 Rue de la Gare,18 Rue de la Gare 25560 Frasne,Frasne,25560
Ilots numériques (La Poste),1 RUE FRANCOIS MITTERRAND,25490,FESCHES LE CHATEL,25512,Fesches-le-Châtel,CA Pays de Montbéliard Agglomération,1 RUE FRANCOIS MITTERRAND 25490 FESCHES LE CHATEL,entreprise,,Ilots numériques avec points d’accès internet Imprimantes  scanners  ordinateurs avec accès aux sites des opérateurs partenaires (CAF  CPAM  MSA  DDFIP  Pôle Emploi…) Accompagnement par un agent de la municipalité (ex : secrétaire),,,,accomp_demarches-,adapt_handicap-acces_libre-,47.522481,6.912569,1 Rue Francois Mitterrand,1 Rue Francois Mitterrand 25490 Fesches-le-Châtel,Fesches-le-Châtel,25490
Ilots numériques (La Poste),4 Place Toussaint Louverture,25260,MONTENOIS,25394,Montenois,CA Pays de Montbéliard Agglomération,4 Place Toussaint Louverture 25260 MONTENOIS,entreprise,,Ilots numériques avec points d’accès internet Imprimantes  scanners  ordinateurs avec accès aux sites des opérateurs partenaires (CAF  CPAM  MSA  DDFIP  Pôle Emploi…) Accompagnement par un agent de la municipalité (ex : secrétaire),,,,accomp_demarches-,acces_libre-,47.491888,6.665429,4 Place Toussaint Louverture,4 Place Toussaint Louverture 25260 Montenois,Montenois,25260
Ilots numériques (La Poste),8 Rue de l'Europe,25700,MATHAY,25370,Mathay,CA Pays de Montbéliard Agglomération,8 Rue de l'Europe 25700 MATHAY,entreprise,,Ilots numériques avec points d’accès internet Imprimantes  scanners  ordinateurs avec accès aux sites des opérateurs partenaires (CAF  CPAM  MSA  DDFIP  Pôle Emploi…) Accompagnement par un agent de la municipalité (ex : secrétaire),,,,accomp_demarches-,acces_libre-,47.437441,6.786037,8 Rue de l'Europe,8 Rue de l'Europe 25700 Mathay,Mathay,25700
Ilots numériques (La Poste),1 Rue de la Mairie,25420,BART,25043,Bart,CA Pays de Montbéliard Agglomération,1 Rue de la Mairie 25420 BART,entreprise,,Ilots numériques avec points d’accès internet Imprimantes  scanners  ordinateurs avec accès aux sites des opérateurs partenaires (CAF  CPAM  MSA  DDFIP  Pôle Emploi…) Accompagnement par un agent de la municipalité (ex : secrétaire),,,,accomp_demarches-,acces_libre-,47.491793,6.771382,1 Rue de la Mairie,1 Rue de la Mairie 25420 Bart,Bart,25420
Ilots numériques (La Poste),7 Place de la Libération,25790,LES GRAS,25296,Les Gras,CC du Val de Morteau,7 Place de la Libération 25790 LES GRAS,entreprise,,Ilots numériques avec points d’accès internet Imprimantes  scanners  ordinateurs avec accès aux sites des opérateurs partenaires (CAF  CPAM  MSA  DDFIP  Pôle Emploi…) Accompagnement par un agent de la municipalité (ex : secrétaire),,,,accomp_demarches-,adapt_handicap-acces_libre-,46.995358,6.544153,7 Place de la Liberation,7 Place de la Liberation 25790 Les Gras,Les Gras,25790
Ilots numériques (La Poste),2 T Rue du Lomont,25310,BLAMONT,25063,Blamont,CA Pays de Montbéliard Agglomération,2 T Rue du Lomont 25310 BLAMONT,entreprise,,Ilots numériques avec points d’accès internet Imprimantes  scanners  ordinateurs avec accès aux sites des opérateurs partenaires (CAF  CPAM  MSA  DDFIP  Pôle Emploi…) Accompagnement par un agent de la municipalité (ex : secrétaire),,,,accomp_demarches-,acces_libre-,47.385425,6.851519,2t Rue du Lomont,2t Rue du Lomont 25310 Blamont,Blamont,25310
Ilots numériques (La Poste),17 Rue de Franche Comté,25300,VERRIERES DE JOUX,25609,Verrières-de-Joux,CC du Grand Pontarlier,17 Rue de Franche Comté 25300 VERRIERES DE JOUX,entreprise,,Ilots numériques avec points d’accès internet Imprimantes  scanners  ordinateurs avec accès aux sites des opérateurs partenaires (CAF  CPAM  MSA  DDFIP  Pôle Emploi…) Accompagnement par un agent de la municipalité (ex : secrétaire),,,,accomp_demarches-,adapt_handicap-acces_libre-,46.897096,6.449935,17 Rue de Franche-comté,17 Rue de Franche-comté 25300 Verrières-de-Joux,Verrières-de-Joux,25300
Ilots numériques (La Poste),18 Avenue de l'Ile de France,25000,BESANCON,25056,Besançon,CA du Grand Besancon,18 Avenue de l'Ile de France 25000 BESANCON,entreprise,,Ilots numériques avec points d’accès internet Imprimantes  scanners  ordinateurs avec accès aux sites des opérateurs partenaires (CAF  CPAM  MSA  DDFIP  Pôle Emploi…) Accompagnement par un agent de la municipalité (ex : secrétaire),,,,accomp_demarches-,acces_libre-,47.221396,5.967028,18 Avenue de l'île de France,18 Avenue de l'île de France 25000 Besançon,Besançon,25000
Etapes Numérique (La Poste),Esplanade des Fêtes,25190,SAINT HIPPOLYTE,25519,Saint-Hippolyte,CC du Pays de Maîche,Esplanade des Fêtes 25190 SAINT HIPPOLYTE,entreprise,,Ilots numériques avec points d’accès internet Imprimantes  scanners  ordinateurs avec accès aux sites des opérateurs partenaires (CAF  CPAM  MSA  DDFIP  Pôle Emploi…) Accompagnement par un agent de la municipalité (ex : secrétaire),,,,,,47.320281,6.814496,Rue des Forges,Rue des Forges 25190 Saint-Hippolyte,Saint-Hippolyte,25190
Technopole TEMIS,18 Rue Alain Savary,25000,BESANCON,25056,Besançon,CA du Grand Besancon,18 Rue Alain Savary 25000 BESANCON,espnum,,,03 81 50 46 95,bruno.favier@temis.org,,tierslieux_cowork-,,47.251757,5.998127,18 Rue Alain Savary,18 Rue Alain Savary 25000 Besançon,Besançon,25000
SEM Numérica,Cours Louis Leprince-Ringuet,25200,MONTBELIARD,25388,Montbéliard,CA Pays de Montbéliard Agglomération,Cours Louis Leprince-Ringuet 25200 MONTBELIARD,entreprise,,,03 81 31 26 80,contact@numericabfc.com,https://numericabfc.com/,tierslieux_cowork-,,47.496067,6.805527,Cours Louis Leprince Ringuet,Cours Louis Leprince Ringuet 25200 Montbéliard,Montbéliard,25200
La tant'ative - espace de coworking,5 Rue Marpaud,25300,PONTARLIER,25462,Pontarlier,CC du Grand Pontarlier,5 Rue Marpaud 25300 PONTARLIER,espnum,,Différents espaces de travail (coworking  salle de réunion) Cotisation annuelle ou location ponctuelle,06 31 83 98 56,tanta@aliceadsl.fr,https://www.tant-a.org/la-tantative/,tierslieux_cowork-,adapt_handicap-acces_libre-,46.90214,6.354467,Rue Marpaud,Rue Marpaud 25300 Pontarlier,Pontarlier,25300
CCAS Valentigney,10 Place Emile Peugeot,25700,VALENTIGNEY,25580,Valentigney,CA Pays de Montbéliard Agglomération,10 Place Emile Peugeot 25700 VALENTIGNEY,ccas,,Accès internet  Caf  Cpam  Pôle emploi Connexion internet avec accompagnement aux droits numériques,03 81 36 25 02,ccas@valentigney.f,https://www.valentigney.fr/ccas.html,accomp_demarches-ateliers_formations-,acces_libre-,47.461257,6.837109,Place Emile Peugeot,Place Emile Peugeot 25700 Valentigney,Valentigney,25700
Bibliothèque de Morteau,10 Place de la Halle,25500,MORTEAU,25411,Morteau,CC du Val de Morteau,10 Place de la Halle 25500 MORTEAU,biblioth_que,,5 ordinateurs en libre accès (pas d'assistance)+ Cours informatique pour les sénior réalisés par une formatrice externe,03 81 68 56 88,,https://mediatheque.morteau.org/,ateliers_formations-,adapt_handicap-acces_libre-,47.056997,6.603397,10 Place de la Halle,10 Place de la Halle 25500 Morteau,Morteau,25500
Bibliothèque de Quingey,15 Rue des Salines,25440,QUINGEY,25475,Quingey,CC Loue-Lison,15 Rue des Salines 25440 QUINGEY,biblioth_que,,,03 81 63 88 57,lesmotsdelaloue.mediatheque@gmail.com,https://mediathequedupaysdequingey.wordpress.com/,ateliers_formations-,acces_libre-,47.102263,5.882119,15 Rue des Salines,15 Rue des Salines 25440 Quingey,Quingey,25440
